Date,Open,High,Low,Close,Adj Close,Volume
2020-04-21,2.070000,2.080000,1.910000,1.960000,1.960000,184100
2020-04-22,1.990000,2.010000,1.940000,1.970000,1.970000,105900
2020-04-23,1.980000,2.070000,1.950000,2.000000,2.000000,248900
2020-04-24,2.000000,2.290000,1.960000,2.220000,2.220000,464000
2020-04-27,2.250000,2.290000,2.100000,2.160000,2.160000,211100
2020-04-28,2.140000,2.300000,2.140000,2.290000,2.290000,115200
2020-04-29,2.300000,2.610000,2.300000,2.450000,2.450000,349900
2020-04-30,2.400000,2.400000,2.200000,2.250000,2.250000,234000
2020-05-01,2.170000,2.240000,2.120000,2.200000,2.200000,104900
2020-05-04,2.130000,2.320000,2.050000,2.280000,2.280000,89200
2020-05-05,2.300000,2.370000,2.100000,2.130000,2.130000,127400
2020-05-06,2.190000,2.300000,1.970000,2.030000,2.030000,285300
2020-05-07,2.170000,2.230000,2.030000,2.110000,2.110000,493700
2020-05-08,2.130000,3.090000,2.130000,2.900000,2.900000,1778300
2020-05-11,2.790000,3.010000,2.610000,2.670000,2.670000,475100
2020-05-12,2.710000,2.870000,2.680000,2.690000,2.690000,259800
2020-05-13,2.500000,2.590000,2.220000,2.300000,2.300000,344000
2020-05-14,2.260000,2.640000,2.250000,2.590000,2.590000,282100
2020-05-15,2.570000,2.590000,2.430000,2.460000,2.460000,209300
2020-05-18,2.710000,2.750000,2.420000,2.440000,2.440000,279300
2020-05-19,2.430000,2.800000,2.400000,2.730000,2.730000,560000
2020-05-20,2.770000,2.970000,2.510000,2.570000,2.570000,559700
2020-05-21,2.650000,2.720000,2.560000,2.660000,2.660000,250300
2020-05-22,2.690000,2.730000,2.540000,2.720000,2.720000,196600
2020-05-26,2.720000,2.850000,2.670000,2.730000,2.730000,152600
2020-05-27,2.540000,2.740000,2.520000,2.710000,2.710000,177400
2020-05-28,2.630000,2.680000,2.520000,2.530000,2.530000,114700
2020-05-29,2.520000,2.690000,2.470000,2.480000,2.480000,256800
2020-06-01,2.480000,2.680000,2.480000,2.610000,2.610000,212700
2020-06-02,2.600000,2.720000,2.530000,2.670000,2.670000,295200
2020-06-03,2.610000,2.660000,2.550000,2.590000,2.590000,222000
2020-06-04,2.560000,2.700000,2.500000,2.610000,2.610000,422000
2020-06-05,2.600000,2.820000,2.590000,2.720000,2.720000,427500
2020-06-08,2.720000,2.780000,2.560000,2.640000,2.640000,557900
2020-06-09,2.600000,2.750000,2.570000,2.670000,2.670000,228200
2020-06-10,2.670000,2.900000,2.660000,2.750000,2.750000,511900
2020-06-11,2.610000,2.720000,2.410000,2.450000,2.450000,415400
2020-06-12,2.500000,2.630000,2.400000,2.450000,2.450000,173000
2020-06-15,2.400000,2.460000,2.350000,2.420000,2.420000,248800
2020-06-16,2.460000,2.530000,2.400000,2.440000,2.440000,139200
2020-06-17,2.480000,2.480000,2.330000,2.330000,2.330000,164900
2020-06-18,2.320000,2.390000,2.200000,2.240000,2.240000,235300
2020-06-19,2.300000,2.390000,2.270000,2.360000,2.360000,192600
2020-06-22,2.310000,2.330000,2.220000,2.260000,2.260000,166600
2020-06-23,2.280000,2.310000,2.110000,2.170000,2.170000,350100
2020-06-24,2.140000,2.250000,2.040000,2.210000,2.210000,258000
2020-06-25,2.250000,2.420000,2.190000,2.420000,2.420000,501400
2020-06-26,2.420000,2.430000,2.270000,2.300000,2.300000,1971900
2020-06-29,2.320000,2.400000,2.300000,2.360000,2.360000,135800
2020-06-30,2.310000,2.390000,2.220000,2.230000,2.230000,116700
2020-07-01,2.240000,2.290000,2.190000,2.240000,2.240000,159200
2020-07-02,2.280000,2.320000,2.140000,2.210000,2.210000,210400
2020-07-06,2.200000,2.270000,2.170000,2.260000,2.260000,156100
2020-07-07,2.280000,2.280000,2.120000,2.120000,2.120000,175200
2020-07-08,2.200000,2.230000,2.080000,2.150000,2.150000,199700
2020-07-09,2.150000,2.150000,2.060000,2.090000,2.090000,145400
2020-07-10,2.090000,2.140000,2.060000,2.100000,2.100000,114900
2020-07-13,2.120000,2.120000,2.010000,2.020000,2.020000,118400
2020-07-14,2.020000,2.080000,2.000000,2.060000,2.060000,138100
2020-07-15,2.070000,2.100000,2.040000,2.080000,2.080000,134500
2020-07-16,2.040000,2.120000,2.040000,2.110000,2.110000,76800
2020-07-17,2.080000,2.270000,2.080000,2.180000,2.180000,215000
2020-07-20,2.260000,2.280000,2.210000,2.240000,2.240000,117200
2020-07-21,2.230000,2.260000,2.160000,2.200000,2.200000,107200
2020-07-22,2.200000,2.200000,2.140000,2.160000,2.160000,52400
2020-07-23,2.140000,2.200000,2.090000,2.140000,2.140000,80800
2020-07-24,2.110000,2.160000,2.090000,2.100000,2.100000,74900
